year,crop,surplus,demands,production,price
1986,wheat,1.482,45.57,47.052,166
1987,wheat,-12.167,56.49,44.323,173
1988,wheat,-2.761,48.93,46.169,183
1989,wheat,0.91,53.2,54.11,215
1990,wheat,2.25,47.6,49.85,225
1991,wheat,-2.876,58.01,55.134,280
1992,wheat,-1.83,57.52,55.69,330
1993,wheat,3.83,53.38,57.21,350
1994,wheat,1.51,58.33,59.84,360
1995,wheat,0.49,64.98,65.47,380
1996,wheat,-3.963,66.06,62.097,475
1997,wheat,0.1,69.25,69.35,510
1998,wheat,2.64,63.71,66.35,550
1999,wheat,1.988,69.3,71.288,580
2000,wheat,9.55,66.82,76.37,610
2001,wheat,4.55,65.13,69.68,620
2002,wheat,-2.48,75.25,72.77,620
2003,wheat,-3.16,68.92,65.76,630
2004,wheat,-0.69,72.84,72.15,640
2005,wheat,-1.34,69.98,68.64,650
2006,wheat,-4.13,73.48,69.35,850
2007,wheat,-0.61,76.42,75.81,1000
2008,wheat,7.65,70.92,78.57,1080
2009,wheat,2.53,78.15,80.68,1100
2010,wheat,-0.96,81.76,80.8,1170
2011,wheat,5.46,81.41,86.87,1285
2012,wheat,11.06,83.82,94.88,1350
2013,wheat,-0.34,93.85,93.51,1400
2014,wheat,2.75,93.1,95.85,1450
2015,wheat,-2.02,88.55,86.53,1525
2016,wheat,-4.94,97.23,92.29,1625
2017,wheat,2.83,95.68,98.51,1735
2018,wheat,4.24,95.63,99.87,1840
2019,wheat,7.49,96.11,103.6,1815
2020,wheat,8.09,99.5,107.59,1922
1987,rice,0.37,59.31,56.86,160
1988,rice,21.56,65.69,70.49,185
1989,rice,20.37,71.12,73.57,205
1990,rice,26.69,73.09,74.29,230
1991,rice,16.67,74.6,74.68,270
1992,rice,15.35,75.27,72.87,310
1993,rice,26.92,76.05,80.3,340
1994,rice,23.48,77.66,81.81,360
1995,rice,12,76.28,76.98,380
1996,rice,14.68,80.64,80.74,415
1997,rice,13.3,77.56,82.55,440
1998,rice,22.37,81.23,86.08,490
1999,rice,20.38,82.67,89.68,510
2000,rice,18.16,75.99,84.98,530
2001,rice,28.21,87.53,93.34,530
2002,rice,-3.83,79.87,71.42,550
2003,rice,19.61,85.62,88.53,560
2004,rice,10.29,80.86,83.13,570
2005,rice,21.81,85.08,91.79,580
2006,rice,19.88,86.7,93.36,745
2007,rice,20.27,90.46,96.69,900
2008,rice,28.26,91.08,99.18,1050
2009,rice,10.94,85.5,89.09,1000
2010,rice,14.22,90.2,95.98,1080
2011,rice,23.89,93.33,105.3,1250
2012,rice,21.42,93.97,105.24,1310
2013,rice,12.8,98.73,106.65,1360
2014,rice,12.38,98.24,105.48,1410
2015,rice,15.86,93.45,104.41,1470
2016,rice,12.47,95.84,109.7,1550
2017,rice,17.08,98.67,112.76,1750
2018,rice,20.85,99.16,116.48,1815
2019,rice,22.32,102.34,118.43,1649
2020,rice,21.96,104,121.46,1906
1987,maize,-0.28,6,5.72,105
1988,maize,0.05,8.18,8.23,130
1989,maize,0.2,9.45,9.65,155
1990,maize,-0.3,9.26,8.96,180
1991,maize,-0.1,8.16,8.06,204
1992,maize,0.02,9.97,9.99,230
1993,maize,0.04,9.56,9.6,250
1994,maize,0.01,8.87,8.88,275
1995,maize,0.04,9.49,9.53,300
1996,maize,0.27,10.5,10.77,330
1997,maize,-0.08,10.9,10.82,350
1998,maize,-0.15,11.3,11.15,390
1999,maize,0.16,11.35,11.51,390
2000,maize,0.09,11.95,12.04,415
2001,maize,0.46,12.7,13.16,445
2002,maize,-0.85,12,11.15,485
2003,maize,1.48,13.5,14.98,485
2004,maize,0.27,13.9,14.17,505
2005,maize,0.51,14.2,14.71,525
2006,maize,1.2,13.9,15.1,540
2007,maize,4.76,14.2,18.96,540
2008,maize,2.73,17,19.73,620
2009,maize,1.62,15.1,16.72,840
2010,maize,3.63,18.1,21.73,840
2011,maize,4.56,17.2,21.76,880
2012,maize,4.76,17.5,22.26,980
2013,maize,4.66,19.6,24.26,1175
2014,maize,1.82,22.35,24.17,1310
2015,maize,-0.98,23.55,22.57,1310
2016,maize,1,24.9,25.9,1325
2017,maize,2.05,26.7,28.75,1365
2018,maize,-0.78,28.5,27.72,1425
2019,maize,0.9,28,28.9,1700
2020,maize,-0.7,28.2,27.5,1760
