year,crop,surplus,demands,production,price
1987,maize,-0.28,6,5.72,105
1988,maize,0.05,8.18,8.23,130
1989,maize,0.2,9.45,9.65,155
1990,maize,-0.3,9.26,8.96,180
1991,maize,-0.1,8.16,8.06,204
1992,maize,0.02,9.97,9.99,230
1993,maize,0.04,9.56,9.6,250
1994,maize,0.01,8.87,8.88,275
1995,maize,0.04,9.49,9.53,300
1996,maize,0.27,10.5,10.77,330
1997,maize,-0.08,10.9,10.82,350
1998,maize,-0.15,11.3,11.15,390
1999,maize,0.16,11.35,11.51,390
2000,maize,0.09,11.95,12.04,415
2001,maize,0.46,12.7,13.16,445
2002,maize,-0.85,12,11.15,485
2003,maize,1.48,13.5,14.98,485
2004,maize,0.27,13.9,14.17,505
2005,maize,0.51,14.2,14.71,525
2006,maize,1.2,13.9,15.1,540
2007,maize,4.76,14.2,18.96,540
2008,maize,2.73,17,19.73,620
2009,maize,1.62,15.1,16.72,840
2010,maize,3.63,18.1,21.73,840
2011,maize,4.56,17.2,21.76,880
2012,maize,4.76,17.5,22.26,980
2013,maize,4.66,19.6,24.26,1175
2014,maize,1.82,22.35,24.17,1310
2015,maize,-0.98,23.55,22.57,1310
2016,maize,1,24.9,25.9,1325
2017,maize,2.05,26.7,28.75,1365
2018,maize,-0.78,28.5,27.72,1425
2019,maize,0.9,28,28.9,1700
2020,maize,-0.7,28.2,27.5,1760
,,,,,
