year,crop,surplus,demands,production,price
1987,rice,0.37,59.31,56.86,160
1988,rice,21.56,65.69,70.49,185
1989,rice,20.37,71.12,73.57,205
1990,rice,26.69,73.09,74.29,230
1991,rice,16.67,74.6,74.68,270
1992,rice,15.35,75.27,72.87,310
1993,rice,26.92,76.05,80.3,340
1994,rice,23.48,77.66,81.81,360
1995,rice,12,76.28,76.98,380
1996,rice,14.68,80.64,80.74,415
1997,rice,13.3,77.56,82.55,440
1998,rice,22.37,81.23,86.08,490
1999,rice,20.38,82.67,89.68,510
2000,rice,18.16,75.99,84.98,530
2001,rice,28.21,87.53,93.34,530
2002,rice,-3.83,79.87,71.42,550
2003,rice,19.61,85.62,88.53,560
2004,rice,10.29,80.86,83.13,570
2005,rice,21.81,85.08,91.79,580
2006,rice,19.88,86.7,93.36,745
2007,rice,20.27,90.46,96.69,900
2008,rice,28.26,91.08,99.18,1050
2009,rice,10.94,85.5,89.09,1000
2010,rice,14.22,90.2,95.98,1080
2011,rice,23.89,93.33,105.3,1250
2012,rice,21.42,93.97,105.24,1310
2013,rice,12.8,98.73,106.65,1360
2014,rice,12.38,98.24,105.48,1410
2015,rice,15.86,93.45,104.41,1470
2016,rice,12.47,95.84,109.7,1550
2017,rice,17.08,98.67,112.76,1750
2018,rice,20.85,99.16,116.48,1815
2019,rice,22.32,102.34,118.43,1649
2020,rice,21.96,104,121.46,1906
,,,,,
